Name,Version,Publisher,Suite Name,Suite Version,EOL Date,EOL Details
Microsoft Office OSM MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Professional Plus 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Proofing (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Proofing Tools 2016 - English,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared 64-bit MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared Setup Metadata MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft OneNote MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Outlook MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft PowerPoint MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Publisher MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft ReportViewer 2010 Redistributable,10.0.30319,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft S/MIME Control for Outlook on the web for Chrome,15.21.1532,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Skype for Business MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server 2012 Native Client,11.3.6540.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server 2014 Management Objects,12.0.2000.8,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server 2017 Policies RC1,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server 2017 T-SQL Language Service RC1,14.0.17177.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server Compact 3.5 SP2 ENU,3.5.8080.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server Compact 3.5 SP2 x64 ENU,3.5.8080.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server Compact 4.0 SP1 x64 ENU,4.0.8876.1,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server Data-Tier Application Framework (x86),14.0.3757.2,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft SQL Server Management Studio - 17.2,14.0.17177.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft System CLR Types for SQL Server 2014,12.0.2402.11,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft System CLR Types for SQL Server 2017 RC1,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visio MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visio Professional 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual Basic Power Packs 3.0,9.0.30214,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022,9.0.21022,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005,12.0.21005.1,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40649,12.0.40649.5,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40649,12.0.40649.5,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40649,12.0.40649,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649,12.0.40649,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40649,12.0.40649,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40649,12.0.40649,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026,14.0.23026,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026,14.0.23026,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2019 Redistributable (x64) - ,14.29.30133.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2019 Redistributable (x64) - ,14.29.30139.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2019 Redistributable (x86) - ,14.29.30133.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2022 Redistributable (x64) - ,14.30.30704.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2022 Redistributable (x64) - ,14.32.31332.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2022 Redistributable (x64) -,14.38.33135.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2015-2022 Redistributable (x86) - ,14.30.30704.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2019 X64 Additional Runtime - ,14.29.30133,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2019 X64 Additional Runtime - ,14.29.30139,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2019 X64 Minimum Runtime - ,14.29.30133,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2019 X64 Minimum Runtime - ,14.29.30139,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2019 X86 Additional Runtime - ,14.29.30133,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2019 X86 Minimum Runtime - ,14.29.30133,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Additional Runtime - ,14.30.30704,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Additional Runtime - ,14.32.31332,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Additional Runtime -,14.36.32532,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Additional Runtime -,14.38.33135,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Minimum Runtime -,14.30.30704,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Minimum Runtime - ,14.32.31332,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Minimum Runtime - ,14.36.32532,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X86 Additional Runtime - ,14.30.30704,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X86 Minimum Runtime - ,14.30.30704,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual Studio 2015 Shell (Isolated),14.0.23107.10,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio 2015 Shell (Isolated),14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio 2015 Shell (Isolated) Resources,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio 2015 Shell (Minimum),14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
