Product Name,Date Certified,Certification Expiry,Days to Certify
Dynamic Application Security Testing (DAST) WebInspect v25.x,,,
Quick Terrain Modeler v8.4.3,,,
EndNote 2025 v22.x,2/26/2026,2/26/2029,189
SAP Crystal Reports v2025,,,
Emitter Data Generator _EDG_ v01.x,,,
Immersive Wisdom v4.x,,,
Consolidated Airfield Management (CAM) Calculator v2.x,2/20/2026,2/20/2029,233
T-38C Mission Debrief System v11.x,,,
Engage v5.x,,,
Augmented Reality Mission Observation and Rehearsal  (ARMOR) v1.x,,,
MiniTab v22.x,,,
Oracle Forms and Reports v12.x,,,
Lexmark Print Management v4.x,,,
SuperNova Magnifier _ Screen Reader v24.x,,,
Simulation Framework Toolkit (SFT) v 35.x,,,
IBM Rational DOORS Server v9.x,,,
ANSYS Mechnical Enterprise,,,
E4Clicks Project Estimator - Server v12.x,2/13/2026,2/13/2029,346
E4Clicks Project Estimator - Desktop v12.x,2/13/2026,2/13/2029,346
DameWare Mini Remote Control v12.x,,,
Emitter Data Generator (EDG) v01.x,,,
MATLAB License Manager v11.x,2/5/2026,2/5/2029,972
Synergis Adept Web Application 2024 v11.x,,,
Dragon Professional v16.x,,,
PaperStream Capture v5.1.x,,,
Brady Workstation v4.x,,,
IVC CCTV View Station Software (VSS) v4.x,,,
IVC CCTV Relay Server Software (RSS) v4.x,,,
Memory Loader Verifier (MLV) Toolkit v4.x,1/29/2026,1/29/2029,48
CaptureOnTouch Pro v5.x,,,
Integrated Support Software (ISS) v4.x,,,
Sikorsky Ground Base Application (SGBA) v4x,,,
SilverFast Archive Suite v9.x,,,
Zebra Designer Pro v3.x,,,
Dymo Connect v1.x,,,
Nlyte Software Datacenter Service Management v15.0.900,,,
Handbook Generator v1.x,1/12/2026,1/12/2029,31
Altair Monarch Desktop v2025.x,,,
Vasion Print - PrinterLogic Server  v25.x,,,
Vasion Print - PrinterLogic Client v25.x,,,
Magic Mark laser software v3.x,,,
Ansys Mechanical Enterprise CFD and SpaceClaim v2025 r1,,,
Precision Targeting Module (PTM) v7.x,1/12/2026,1/12/2029,129
HARM Targeting System (HTS) Threat Planner v4.x,1/12/2026,1/12/2029,226
Synergis Adept Desktop 2024 v11.x,,,
Synergis Adept Server 2024 v11.x,,,
Pointwise v2024.20.x,,,
B-52 WB Form F v1.x,1/7/2026,1/7/2029,25
Cyber Technology Maturation Framework (CTMF) v4.x,12/30/2025,12/30/2028,133
Oracle SQL Developer v24.x,,,
Java SE Development Kit v17.0.16,,,
Altair SAS Language Compiler (SLC) 2026 v5.x,12/18/2025,12/18/2028,435
Exceed v16.x,,,
ALE-47 BC10.3 Common Mission Data File Generator (CMDFG) v11.x,12/3/2025,12/3/2028,174
Diagnostic Support Tool v8.x,12/3/2025,4/12/2027,95
TSF Website v1.x,12/1/2025,12/1/2028,425
Virtual Electronic Combat Training Simulation (VECTS) Mission Planning Tool (MPT) Version 22.x,12/1/2025,12/1/2028,100
Siemens NX v2506 (Client) v25.x,12/1/2025,9/7/2026,193
Siemens NX 2506 (Server) v25.x,12/1/2025,9/7/2026,223
Altair Analytics Workbench 2026 Version 5.x,12/1/2025,12/1/2028,418
Adobe Robohelp v2022,,,
Proficiency Time (ProTime) v1.x,,,
Flux Framework v2025.x,11/24/2025,11/24/2028,125
Qlik Sense Desktop v14.x,,,
Cisco Packet Tracer v8.x,,,
Navigation Database (NavDB) Tool v6.x,,,
Corrdesa Corrosion Djinn v1.x,9/30/2025,9/30/2028,25
Reliasoft 2025 v25.x,9/29/2025,11/30/2026,24
HBM Prenscia Licensing v1.x,9/29/2025,11/30/2026,33
Trimble Business Center _TBC_ v5.x,,,
HTS-Training Mode Tool Admin Beam Editor v4.x,9/25/2025,9/25/2028,76
SQL Anywhere v17.x,9/25/2025,9/25/2028,44
Canon imageFORMULA CapturePerfect v3.x,,,
Getac Barcode Manager v2.x,9/19/2025,9/19/2028,64
Flight Support Process (FSP) v1.x,9/17/2025,9/17/2028,55
Microsoft Purview Information Protection Client v3.1.300.0,,,
Venus 2 Enterprise (V2E) v2.x,9/16/2025,9/16/2028,234
Oracle Client for Microsoft Tools 64-bit v19c,,,
GPS Interference and Navigation Tool (GIANT) v5.x,9/12/2025,9/12/2028,162
Mattermost Enterprise Edition v5.x,9/12/2025,9/12/2028,147
Ivanti UWM Client v2023.x,,,
Ivanti UWM v2023.x,,,
Adjunct Simulation Engine (ASE) vTMC-2023-03.08,,,
Guided Weapon Trajectory Software (GWTS) 32bit v7.x,9/8/2025,9/8/2028,9
Guided Weapon Trajectory Software (GWTS) v7.x 64 bit,9/4/2025,9/4/2028,42
IBM Cognos Analytics v12.x,9/4/2025,9/4/2028,215
LabVIEW v2025,,,
ViewMate Deluxe v11.x,,,
SAS Analytics Pro v9.x,,,
Pearson Vue Browser Lock AFPQT v6.x,9/3/2025,9/2/2028,42
Satellite Orbit Analysis Program (SOAP) v15.x,9/3/2025,10/22/2026,104
Pearson Vue Browser Lock eWAPS v6.x,9/3/2025,9/2/2028,43
Pratt & Whitney (PW) Interactive Electronic Technical Manual (IETM) v5.x,9/3/2025,9/2/2028,61
Contingency Quarters Management Accountability Platform (CQMAP) v1.x,,,
GEM v5.x,,,
Trace 3D Plus v7.x,,,
ONE Disconnected Client v3.x,4/28/2025,4/28/2028,44
Extreme Digital Audio Recording Enhanced Software (XDARES) v2.x,8/27/2025,8/27/2028,49
Nvivo v15.x,,,
C2Core Network Operations Planning Application (NetOps) v1.x,8/26/2025,8/26/2028,118
Cross Match Technologies Livescan Management v8.x,,,
C-130 WB v2.x,8/22/2025,8/22/2028,3
Adobe Acrobat (Mobile) v25.x,8/21/2025,8/21/2028,34
Standalone Cybersecurity Risk Assessment Module (SCRAM) v1.x,8/21/2025,8/21/2028,26
Imagin v2.x,,,
PowerDNA Software Suite (64-bits) Version 5.x,8/14/2025,8/14/2028,352
Live Content S1000D v6.x,8/13/2025,8/13/2028,1
Teamcenter Rich Client v2412.x,8/11/2025,9/7/2026,27
Adobe Framemaker v2022,,,
ReliaSoft v24.x,,,
Altair Power System Simulation (PSIM) v2025.x,8/6/2025,8/6/2028,137
SDL Trados Studio 2024 Professional v18.x,,,
Adobe Acrobat Sign for Microsoft Teams vN 23,,,
Government Furnished Property Acquisition Management System (GFPAMS) Version 1.x,8/1/2025,8/1/2028,119
3DxWare v10.x,7/31/2025,7/31/2028,27
PowerDocu v2.x,7/29/2025,11/10/2026,96
Genesis PRO v3.x,7/28/2025,7/28/2028,52
 Automated Weight and Balance System (AWBS) v11.x,7/7/2024,7/7/2027,74
Adobe InDesign v20.x,,,
Joint Construction Management System (JCMS) v5.x,,,
SolarWinds Network Topology Mapper v2.x,,,
Pyrosim v2024.2,,,
Geospatial Expeditionary Planning Tool (GeoExPT) Plugin v10.x,4/1/2025,3/31/2028,159
EZ Audit v19.x,,,
C-130H eTOLD v2.x,7/16/2025,7/16/2028,35
Navy Evaluation and Fitness Report (NAVFIT98) v2.x,7/16/2025,7/16/2028,15
Zoom for Government (ZfG) v6.x,9/19/2024,,12
Time and Attendance (TAA) Export Client v3.x,7/15/2025,5/12/2026,19
Altair EEVision v2025.x,7/10/2025,7/10/2028,22
Portable Electronic Maintenance Application (PEMA) v1.x,,,
SimLab v2025.x,,,
Femap License Server 2412 (Flexera/Flexlm) v11.x,7/7/2025,7/7/2028,101
CEPTOR v1.x,7/7/2025,7/7/2028,873
WxStream Middleware v1.0,7/7/2025,7/7/2028,124
7-Zip v24.x,7/7/2025,7/7/2028,24
Femap v25.x,7/7/2025,7/7/2028,101
Ivanti Secure Access Client v22.x,7/7/2025,4/6/2026,72
Board 14 Office Add-in v14.x,,9/1/2027,
Board 14  Server v14.x,,9/1/2027,
ArcGIS License Manager v2024.x,,,
Master Air Attack Planning Toolkit (MAAPTK) v2.x,6/25/2025,6/25/2028,237
Keysight Electronic Warfare (EW) Threat Simulation View Version 6.x,6/24/2025,11/10/2026,347
Toad for Oracle 2025 Professional Edition v25.x,6/24/2025,4/13/2027,0
Test Data Collection System_TDCS v5.x,,,
Captivate Classic v11.x,,,
i Access v1.x,6/23/2025,6/23/2028,12
OnePager Bundle v7.x,6/23/2025,6/5/2028,67
Common Environment Test Integrator _CETI_ v2.x.x,,,
NLign Teamcenter Integrator v8.x,,,
Meeting Owl Windows v4.x,,,
Battlespace Simulations License Server v1.x,6/12/2025,6/12/2028,147
ConfigOS MPO Agent v2024.3,,,
ConfigOS MPO Client v2024.3,,,
ConfigOS MPO Commander Server v2024.3,,,
ConfigOS MPO Forge v2024.3,,,
IBM Rational DOORS v9.x,,,
Gulfstream PlaneBook v6.x,6/11/2025,6/11/2028,20
BLAMAP v4.x,,,
CREATE-RF SENTRi v14.x,,,
Full Monte Schedule Risk Analysis (SRA) v3x,6/4/2025,6/4/2028,98
X1 Search v9.x,6/4/2025,6/4/2028,238
Lippencott Nursing Advisor v4.x,6/4/2025,6/4/2028,27
Directory Toolkit v8.x,6/4/2025,6/4/2028,1
Lippincott Procedures v4.x,6/4/2025,6/4/2028,27
Oracle JDeveloper v14.x,,,
Talend Data Services Platform v8.x,,,
Corrdesa Corrosion Djinn v4.x,,,
Command and Control (C2) Core Air v3.x,5/29/2025,5/29/2028,97
OpenText™ Functional Testing v24.x,5/27/2025,9/7/2026,403
BlueBeam Revu Complete v21.x,,,
Feko v2025.x,,,
Air Force TMSS Tagging Toolset (AFT3) Validation Tool v1.x,5/22/2025,5/22/2028,0
Target Acquisition Weapons Software (TAWS) v9.x,,,
Comprehensive Engine Trending And Diagnostic System (CETADS) v3.x,5/21/2025,5/21/2028,22
T-38C Integrated Maintenance Information System v20.x,,,
Windows Tactical Assault Kit (WinTAK) v5.x,5/21/2025,5/21/2028,71
Plant Simulation v2504.x,5/20/2025,9/7/2026,24
Amazon WorkSpaces Client v5.x,5/15/2025,11/10/2026,334
Automated Data Cleanup (ADC) v2.x,5/15/2025,5/15/2028,1
MobaXterm Home Edition v25.x,,,
Simio Risk Planning and Scheduling (RPS) Edition (Node Lock License) Version 18.x,5/6/2025,5/12/2026,179
Air Refueling Optimization Planning System (AROPS) v1.x,5/7/2025,5/7/2028,242
Smartrack Global Warehouse System v1.x,5/7/2025,5/7/2028,267
Host Mission Data Generator (MDG) v3.x,5/7/2025,5/7/2028,39
Python v3.x,,,
SAFEREP v3.x,5/5/2025,5/5/2028,11
Scalable Portable Integrated Data Router (SPIDR) v2.x,5/5/2025,5/5/2028,136
API Utils v1.x,5/2/2025,5/2/2028,0
Guided Missile - Launcher Test Set (GM-LTS) View v5.x,5/2/2025,7/14/2026,24
MOVINT Client v1.x,5/1/2025,5/1/2028,27
Tableau Prep v25.x,5/1/2025,6/22/2026,140
Tableau Desktop v25.x,5/1/2025,6/22/2026,140
Cadence OrCAD PCB Designer v22,,,
ScanSnap Home v2.x,,,
Schlage Express v4.x,,,
WSI Pilotbrief Optima v2024.x,4/29/2025,4/29/2028,13
P1 ChatOps v2.x,4/28/2025,4/28/2028,18
HH-60W eTool GSS v1.x,,,
Oracle Database 19c Client for MS Win x64 v19.x,,,
Altova MissionKit Professional v2025.x,4/24/2025,4/24/2028,152
Lexicomp v9.x,4/24/2025,4/24/2028,8
TeraByte Drive Image Backup and Restore Suite v4.x,4/23/2025,4/22/2028,168
Altair Panopticon v2025.x,4/22/2025,4/22/2028,194
MultiRouter v2.x,3/31/2025,3/31/2028,39
Stratus Horizon Pro v3.x,4/17/2025,4/17/2028,1
wInsight Analytics v8.x,4/17/2025,4/17/2028,0
Safe Exam Browser v3.x,,,
Honeywell PC - Flight Management System v6.x,,,
Reference Fluid Properties (REFPROP) v10.x,4/15/2025,4/15/2028,12
Probability of Detection (POD) Professional v4.x,4/14/2025,4/14/2028,61
Command and Control (C2) Core Air Server v3.x,,,
Digital Maintenance Advisor v1.x,4/11/2025,9/6/2026,304
Windows Subsystem for Linux (WSL) v2.x,,,
Data Analysis and Retrieval Tool v2.0,,,
GM-LTS View v5.x,,,
Enthought Deployment Manager (EDM) v4.x,4/8/2025,9/7/2026,87
Graphic Extraction Master Parts List (GE MPL) Compare v1.x,4/8/2025,4/8/2028,0
Adobe ColdFusion Enterprise v2023.x,,,
Siemens Corrosion Modeling Toolset vv1,,,
Aircraft Sustainability Model (ASM) v11.x,4/4/2025,4/4/2028,9
CAF SIPT Aviation Scheduling Planning v2.0,,,
Satellite Orbit Analysis Program (SOAP) v15.x,,,
EditPad Pro v8.x,5/16/2023,5/16/2026,542
NLign Smart Tool Connector v8.x,3/31/2025,3/31/2028,68
Terminal Advisory Service (TAS) v1.x,3/28/2025,3/28/2028,71
Replace Studio Professional v9.x,3/25/2025,3/25/2028,0
Pavement Computer Assisted Structural Engineering (PCASE) v7.x,3/24/2025,3/24/2028,272
MobaXterm v25.x,,,
LifeWorks 2020 v5.x,3/14/2025,3/14/2028,590
Progress DataDirect ODBC for Oracle v8.x,2/18/2025,2/18/2028,350
PROPRICER Government Edition v9.x,2/27/2025,11/10/2026,280
Graphic Extraction Figure Counter v1.x,3/21/2025,3/21/2028,0
dataSOFT v24.x,,,
ADVISOR Enterprise v13.x,3/18/2025,3/18/2028,238
OmniV v2024.x,3/18/2025,3/18/2028,20
Altair AI Studio v2025.x,3/18/2025,3/18/2028,90
ARDRONIS v23.x,,,
Central Technical Order Repository MetaData Capture (CTOR MDC) v1.x,3/14/2025,3/14/2028,3
Air Traffic Activity Reporting System v4.x,3/14/2025,3/14/2028,56
Mastercam 2025 v27.x,3/14/2025,3/14/2028,121
Archibus Smart Client 2024 v20.24.x,3/14/2025,3/13/2028,118
IBM Rational DOORS v9.x,,,
SmartGit v24.x,,,
MagicMark v3.x,,,
Power BI Server v15.x,,,
Soniclear Meeting v9.x,,,
Multi-Tab Statistics (MtStat) v10.x,3/3/2025,3/3/2028,27
Aero NextGen IETM Viewer v4.x,,,
Autodesk Navisworks Freedom v2024,,,
Electrical Transient Analysis Program_ETAP v2x,,,
Winzip SafeMedia v8.x,10/29/2024,6/21/2027,188
Reflection Desktop v17.x,,,
Adobe Captivate v12.x,,,
Windows 10 SDK Signing Tool v10.x,10/2/2024,10/2/2027,11
Maintenance Aware Design Ecosystem (MADE) Version 3.x,2/27/2025,2/27/2028,287
AFRC Enterprise Resource Planning Suite (ERPS) v2.x,1/17/2025,1/17/2028,295
Surge Database (SurgeTraK) v1.x,2/13/2025,2/13/2028,70
Command and Control (C2) Core Air  Desktop v3.x,2/13/2025,4/13/2027,377
Citrix Workspace Application v24.x,2/13/2025,2/13/2028,285
Dassault Systèmes License Server (DSLS) Version 6.x,2/10/2025,2/10/2028,326
Combat Forces Assessment Model (CFAM) v3.x,2/10/2025,2/10/2028,683
ELM Enterprise Manger v8.x,,,
Enterprise Log Manager v8,,,
NCheck (Client) v8.x,2/7/2025,10/8/2027,16
NLign (Client) v8.x,2/7/2025,10/8/2027,16
Synergis Adept Web Application 2023 v11.x,,,
Integrated Solutions for Situational Awareness (ISSA) Workstation (ISSA-Wks) v1.x,2/4/2025,4/13/2027,6
IBM Cognos Framework Manager v11.x,,,
T-38C Desktop Training Environment (DTE) v11.x,1/30/2025,1/30/2028,14
Pavement Sustainment Management System (PAVER) v7.x,1/30/2025,1/30/2028,219
Automated Order Tracking System (AOTS) v3.x,1/30/2025,1/30/2028,96
Erwin Data Modeler Standard Edition 12.5 v99.x,,,
EasyEPD2 v3.x,,,
Microsoft Power BI Report Builder Version 15.x,,,
Automated Weight and Balance System (AWBS) v10.x,1/22/2025,6/21/2027,41
Teamcenter Integration for Creo (IPEM) v2406.x,1/22/2025,1/22/2028,0
GPS Pathfinder Office v5.x,,,
EasyEPD3 v1.x,,,
Autodesk Inventor 2025 Version 29.x,,,
Autodesk Vault Pro Server 2025 Version 29.x,,,
Autodesk 3ds Max 2025 v27.x,,,
Autodesk Revit 2025 v25.x,,,
Autodesk AutoCAD 2025 Version 25.x,,,
Autodesk Vault Pro Client 2024 Version 29.x,,,
Autodesk Recap Pro 2025 v25.x,,,
Autodesk Navisworks Manage 2025 v22.x,,,
Autodesk Civil 3D 2025 v13.x,,,
Engineering Lifecycle Management (ELM) v7.x,1/8/2025,1/8/2028,176
Technical Order _TO_ Archive Utility v1.x,12/30/2024,12/30/2027,6
PTC Creo Parametric v11.x,12/31/2024,12/31/2027,10
Airfield Damage-Assessment Resiliency Model (AD-ARM) v1.x,12/30/2024,12/30/2027,19
T-38C Data Analysis v16.x,12/30/2024,12/30/2027,18
JEDMICS Upload System (JUST) 32 v5.x,12/18/2024,12/18/2027,0
WinDSX SQL v6.x,12/18/2024,12/17/2027,203
SimLab v202x,,,
ArcGIS for AutoCAD v430.x,12/17/2024,12/17/2027,6
Altair AI Studio v202x,,,
Web Enterprise Architect (WebEA) v5.x,12/13/2024,12/13/2027,211
Esri City Engine v2024.x,12/12/2024,12/12/2027,22
Oracle Database 19c Client for MS Win x32 v19x,12/12/2024,4/13/2027,98
Help Desk Graphical User Interface (GUI) v1.x,12/11/2024,12/11/2027,4
Web Aircraft Delivery Information System (WEB-ADIS) v1x,12/11/2024,12/11/2027,301
Telerik UI for ASP.NET Core v2024.x,,,
IBM TRIRIGA CAD Integrator/Publisher for AutoCAD v14.x,12/5/2024,12/5/2027,15
Adobe InDesign v19.x,,,
Adobe Media Encoder v24.x,,,
Adobe Illustrator v28.x,,,
Adobe InCopy v19.x,,,
Adobe Photoshop v25.x,,,
Adobe Creative Cloud Video Tools v2023,,,
Adobe Creative Cloud Design Tools v2023,,,
Adobe Creative Cloud Web Tools v2023,,,
Adobe Creative Cloud Imaging Tools v2023,,,
CATIA v.5x,11/27/2024,11/27/2027,1218
Airfield Inspection and Reporting Software (AIROPS) v2.x,11/26/2024,11/26/2027,986
Synergis Adept Server 2023 v11.x,,,
Synergis Adept Desktop Client 2023 v11.x,,,
Creo View Express 10.1 v10.1,,,
Conventional Weapons Effects _ConWep_ v2.2.3,,,
Master Air Attack Plan Toolkit _MAAPTK_ v2.x,,,
Autodesk DWG Trueview 2025 v2025.x,,,
Design Assessment of Reliability with Inspection (DARWIN) v10.x,11/22/2024,4/13/2027,833
TrueChem v24x,,,
Arbortext ISOView v7.x,,,
Simcenter 3D v2312,,,
Passport.Gov v6.01.62,,,
Enterprise Secure Host Baseline (ESHB) v11.x,9/17/2024,9/17/2027,24
